speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
,はい,Yes,Sim,,,10,100,,
,いいえ,No,Não,,,10,101,,
,スキップしますか？,Skip this sequence?,,,,10,102,,
,来るわ…,Danger.,Perigo.,,,10,2000,,
,…何が？,From what?,De quê?,,,10,2001,,
,わからないのか！？,You can't tell?,Não consegue sentir?,,,10,2002,,
,"…なぜわかる？
         さっぱりわからない…","How do you know?
                                 I don't sense anything.","Como você sabe?
                                 Eu não sinto nada.",,,10,2003,,
,来るってんなら来るんだろ？,"If she says we're in danger, we are!","Se ela diz que estamos em perigo, é porque estamos!",,,10,2004,,
,そうよ！,He's right!,Ele tem razão!,,,10,2005,,
,…さあ 目を覚まして,"Open your eyes,","Abra os olhos,",,,10,2006,,
,アリーシャ…,Alicia.,Alicia.,,,10,2007,,
,逃げろ！ 城から出るんだ！,Run! Escape from the castle!,Corra! Fuja do castelo!,,,10,2008,,
,こっちだ 早く！,"This way, quickly!","Por aqui, rápido!",,,10,2010,,
,行くのよ！,Hurry!,Depressa!,,,10,2011,,
,早く！,Quickly!,Rápido!,,,10,2012,,
,わかってる！ 焦らせるな！,I know! Don't rush us!,Eu sei! Não nos apresse!,,,10,2013,,
,あっちだ！,Over there!,Por ali!,,,10,2014,,
,シルメリア 戻りなさい！,"Silmeria, return at once!","Silmeria, volte imediatamente!",,,10,2015,,
,私は ――,I won't...,Eu não vou...,,,10,2016,,
,―― ヴァルハラへは戻らない！,I won't return to Valhalla!,Não vou voltar à Valhalla!,,,10,2017,,
,あくまでオーディン様の命に背くか…,You'll disobey Odin to your last breath.,Você vai desobedecer Odin até o último suspiro.,,,10,2019,,
,…いいだろう,So be it.,Que assim seja.,,,10,2020,,
,ディパンの安全は保証しない,But be warned<808A>,Mas fique avisada<808A>,,,10,2021,,
,,<3F80>-<808B>Dipan will not be spared.,<3F80>-<808B>Dipan não será poupada.,,,10,2021+4,,
,ありがとう…,Thank you.,Obrigada.,,,10,2022,,
,…もう後へは戻れないわ,There's no going back now.,Agora não há como voltar atrás.,,,10,2023,,
,そうね…,Let's go...,Vamos...,,,10,2024,,
